DATE,USACPALTT01CTGYM
2018-04-01,2.40673736606446
2018-05-01,2.72565662360854
2018-06-01,2.80061321777916
2018-07-01,2.88980397925003
2018-08-01,2.65138330242869
2018-09-01,2.24098277368582
2018-10-01,2.48609069597009
2018-11-01,2.17253831552201
2018-12-01,1.94929185547705
2019-01-01,1.593904246
2019-01-02,1.576422092
2019-01-03,1.933696758
2019-01-04,2.099331242
2019-01-05,1.916334882
2019-01-06,1.764365256
2019-01-07,1.917843209
2019-01-08,1.837842049
2019-01-09,1.781486396
2019-01-10,1.835371934
2019-01-11,2.089841703
2019-01-12,2.277591674
2019-02-01,1.57642209194507
2019-03-01,1.93369675764077
2019-04-01,2.09933124203267
2019-05-01,1.91633488150887
2019-06-01,1.76436525632301
2019-07-01,1.91784320861728
2019-08-01,1.83784204880436
2019-09-01,1.78148639618812
2019-10-01,1.83537193426659
2019-11-01,2.08984170296823
2019-12-01,2.27759167377546
2020-01-01,2.491632847
2020-01-02,2.340293088
2020-01-03,1.530779834
2020-01-04,0.285957806
2020-01-05,0.051280577
2020-01-06,0.581270976
2020-01-07,0.933335907
2020-01-08,1.264506561
2020-01-09,1.332003773
2020-01-10,1.130981549
2020-01-11,1.122155055
2020-01-12,1.323012104
2020-02-01,2.3402930879404
2020-03-01,1.53077983402619
2020-04-01,0.285957806033672
2020-05-01,0.0512805772250565
2020-06-01,0.581270975904749
2020-07-01,0.933335907356692
2020-08-01,1.2645065613625
2020-09-01,1.33200377255831
2020-10-01,1.13098154857115
2020-11-01,1.12215505546534
2020-12-01,1.3230121039743
2021-01-01,1.365914885
2021-01-02,1.630143953
2021-01-03,2.554887119
2021-01-04,4.091168679
2021-01-05,4.926312222
2021-01-06,5.308076978
2021-01-07,5.263088853
2021-01-08,5.173856806
2021-01-09,5.331812962
2021-01-10,6.168980553
2021-01-11,6.756290803
2021-01-12,6.985817076
2021-02-01,1.63014395317607
2021-03-01,2.55488711871961
2021-04-01,4.09116867895537
2021-05-01,4.92631222194243
2021-06-01,5.30807697794924
2021-07-01,5.26308885291013
2021-08-01,5.17385680611682
2021-09-01,5.33181296198849
2021-10-01,6.16898055300028
2021-11-01,6.75629080323472
2021-12-01,6.985817076328
2022-01-01,7.431089328
2022-01-02,7.831418522
2022-01-03,8.459524315
2022-01-04,8.196611458
2022-01-05,8.519895747
2022-01-06,8.96837148
2022-01-07,8.461721721
2022-01-08,8.214989379
2022-01-09,8.189108413
2022-01-10,7.746691578
2022-01-11,7.128344385
2022-01-12,6.51667354
2022-02-01,7.83141852225068
2022-03-01,8.45952431506985
2022-04-01,8.19661145805967
2022-05-01,8.51989574657224
2022-06-01,8.96837147989759
2022-07-01,8.46172172057939
2022-08-01,8.214989378576
2022-09-01,8.18910841290281
2022-10-01,7.74669157814687
2022-11-01,7.12834438533917
2022-12-01,6.51667354017639
2023-01-01,6.331667056
2023-01-02,5.90445
2023-01-03,4.85345472
2023-01-04,4.872059723
2023-01-05,3.993677582
2023-01-06,2.971587832
2023-01-07,3.160708912
2023-01-08,3.696583072
2023-02-01,5.90444999990735
2023-03-01,4.85345472001022
2023-04-01,4.87205972318956
2023-05-01,3.99367758171464
2023-06-01,2.9715878318128
2023-07-01,3.16070891227286
2023-08-01,3.69658307187291
2023-09-01,3.650372
2023-10-01,3.214313
2023-11-01,3.121578
2023-12-01,3.262947
2024-01-01,3.081752
2024-02-01,3.032076
2024-03-01,3.131578
2024-04-01,2.756626
2024-05-01,2.661419
2024-06-01,2.477751
2024-07-01,2.3232909999999998
2024-08-01,1.9869419999999998
