DATE,CPALTT01JPM659N
1956-01-01,-1.609442
1956-02-01,-0.7510729
1956-03-01,0.1079914
1956-04-01,-0.5353319000000001
1956-05-01,0.0
1956-06-01,1.943844
1956-07-01,0.3253796
1956-08-01,0.2155172
1956-09-01,0.6437768
1956-10-01,0.533049
1956-11-01,1.2008729999999999
1956-12-01,2.741228
1957-01-01,3.271538
1957-02-01,2.162162
1957-03-01,2.265372
1957-04-01,2.691066
1957-05-01,4.0
1957-06-01,1.588983
1957-07-01,4.864865
1957-08-01,5.053763
1957-09-01,3.624733
1957-10-01,2.757158
1957-11-01,3.128371
1957-12-01,1.814301
1958-01-01,0.9503696
1958-02-01,0.31746030000000003
1958-03-01,-0.42194090000000006
1958-04-01,-0.6289308000000001
1958-05-01,-1.559252
1958-06-01,-0.10427529999999999
1958-07-01,-1.6494849999999999
1958-08-01,-1.3306040000000001
1958-09-01,-1.3374489999999999
1958-10-01,-0.20639839999999998
1958-11-01,0.10460250000000001
1958-12-01,0.2096436
1959-01-01,0.10460250000000001
1959-02-01,0.5274262
1959-03-01,1.2711860000000001
1959-04-01,1.371308
1959-05-01,0.7391763000000001
1959-06-01,0.31315240000000005
1959-07-01,0.8385744
1959-08-01,1.3485479999999999
1959-09-01,0.9384776
1959-10-01,1.447777
1959-11-01,1.985371
1959-12-01,2.09205
1960-01-01,3.23929
1960-02-01,3.7775440000000002
1960-03-01,3.138075
1960-04-01,3.225806
1960-05-01,4.926625
1960-06-01,3.7460980000000004
1960-07-01,3.534303
1960-08-01,2.763562
1960-09-01,4.5454550000000005
1960-10-01,3.669725
1960-11-01,2.766393
1960-12-01,3.586066
1961-01-01,3.744939
1961-02-01,4.145601999999999
1961-03-01,4.259635
1961-04-01,4.637097
1961-05-01,3.196803
1961-06-01,3.610832
1961-07-01,5.421687
1961-08-01,5.378486
1961-09-01,5.13834
1961-10-01,6.882989
1961-11-01,8.873380000000001
1961-12-01,9.000989
1962-01-01,8.195122
1962-02-01,7.281553
1962-03-01,7.684825
1962-04-01,7.803468
1962-05-01,8.906098
1962-06-01,8.518877
1962-07-01,7.809524000000001
1962-08-01,6.994329
1962-09-01,6.015038
1962-10-01,4.599816000000001
1962-11-01,3.754579
1962-12-01,4.900181
1963-01-01,5.951307
1963-02-01,6.815995
1963-03-01,7.103296
1963-04-01,6.429868
1963-05-01,6.689291000000001
1963-06-01,7.899984
1963-07-01,6.146971
1963-08-01,5.794713
1963-09-01,8.290913
1963-10-01,7.083019999999999
1963-11-01,6.991809
1963-12-01,5.323005
1964-01-01,3.733032
1964-02-01,3.153153
1964-03-01,3.139014
1964-04-01,3.90625
1964-05-01,3.543743
1964-06-01,2.527472
1964-07-01,2.654867
1964-08-01,4.106548
1964-09-01,3.373232
1964-10-01,5.567686
1964-11-01,5.153509
1964-12-01,4.694323000000001
1965-01-01,6.870228999999999
1965-02-01,6.768559
1965-03-01,6.9565220000000005
1965-04-01,7.948442
1965-05-01,6.84492
1965-06-01,6.859592999999999
1965-07-01,6.896552000000001
1965-08-01,6.289979
1965-09-01,6.4210519999999995
1965-10-01,5.894519
1965-11-01,5.7351410000000005
1965-12-01,6.465068
1966-01-01,5.204082
1966-02-01,6.2372190000000005
1966-03-01,5.995935
1966-04-01,4.975124
1966-05-01,4.904905
1966-06-01,5.315948000000001
1966-07-01,6.1491940000000005
1966-08-01,4.814443
1966-09-01,4.549951
1966-10-01,3.90625
1966-11-01,4.142012
1966-12-01,4.407444
1967-01-01,4.558681
1967-02-01,4.234841
1967-03-01,4.026845
1967-04-01,3.1279619999999997
1967-05-01,3.1488549999999997
1967-06-01,2.380952
1967-07-01,1.994302
1967-08-01,3.636364
1967-09-01,4.068117
1967-10-01,5.169173000000001
1967-11-01,5.871212
1967-12-01,5.628518
1968-01-01,5.28757
1968-02-01,5.263158
1968-03-01,5.253456
1968-04-01,5.238971
1968-05-01,5.920444
1968-06-01,5.581395
1968-07-01,5.679702
1968-08-01,5.724838
1968-09-01,6.4545449999999995
1968-10-01,4.736372
1968-11-01,5.09839
1968-12-01,3.907638
1969-01-01,3.4361230000000003
1969-02-01,2.982456
1969-03-01,3.85289
1969-04-01,4.628821
1969-05-01,4.716157
1969-06-01,5.814978
1969-07-01,7.136564
1969-08-01,7.1615720000000005
1969-09-01,5.550811
1969-10-01,5.972696
1969-11-01,5.276596
1969-12-01,6.4102559999999995
1970-01-01,7.751277
1970-02-01,7.751277
1970-03-01,7.717095
1970-04-01,7.683598
1970-05-01,7.2455869999999996
1970-06-01,7.066992999999999
1970-07-01,5.746265
1970-08-01,4.458001
1970-09-01,5.386267
1970-10-01,6.557878
1970-11-01,6.988589
1970-12-01,6.971782000000001
1971-01-01,6.5
1971-02-01,6.0
1971-03-01,5.3
1971-04-01,5.8
1971-05-01,6.4
1971-06-01,6.9
1971-07-01,6.9
1971-08-01,7.0
1971-09-01,8.0
1971-10-01,6.5
1971-11-01,5.5
1971-12-01,4.8
1972-01-01,4.1
1972-02-01,4.5
1972-03-01,5.3
1972-04-01,5.0
1972-05-01,5.2
1972-06-01,4.8
1972-07-01,5.0
1972-08-01,5.9
1972-09-01,3.9
1972-10-01,4.4
1972-11-01,5.1
1972-12-01,5.7
1973-01-01,6.7
1973-02-01,7.0
1973-03-01,8.7
1973-04-01,9.4
1973-05-01,10.8
1973-06-01,11.0
1973-07-01,11.7
1973-08-01,11.9
1973-09-01,14.2
1973-10-01,13.9
1973-11-01,15.2
1973-12-01,18.3
1974-01-01,21.9
1974-02-01,24.9
1974-03-01,22.8
1974-04-01,23.7
1974-05-01,22.0
1974-06-01,22.3
1974-07-01,23.8
1974-08-01,23.9
1974-09-01,22.5
1974-10-01,24.8
1974-11-01,24.5
1974-12-01,21.0
1975-01-01,16.8
1975-02-01,13.6
1975-03-01,13.9
1975-04-01,13.4
1975-05-01,14.0
1975-06-01,13.4
1975-07-01,11.4
1975-08-01,10.2
1975-09-01,10.4
1975-10-01,9.7
1975-11-01,8.3
1975-12-01,7.8
1976-01-01,8.7
1976-02-01,9.3
1976-03-01,8.7
1976-04-01,9.4
1976-05-01,9.2
1976-06-01,9.6
1976-07-01,9.9
1976-08-01,9.4
1976-09-01,9.8
1976-10-01,8.7
1976-11-01,9.2
1976-12-01,10.5
1977-01-01,9.4
1977-02-01,9.3
1977-03-01,9.5
1977-04-01,8.8
1977-05-01,9.4
1977-06-01,8.6
1977-07-01,7.7
1977-08-01,8.6
1977-09-01,7.7
1977-10-01,7.6
1977-11-01,6.5
1977-12-01,5.0
1978-01-01,4.5
1978-02-01,4.5
1978-03-01,4.8
1978-04-01,4.2
1978-05-01,3.9
1978-06-01,3.9
1978-07-01,4.6
1978-08-01,4.6
1978-09-01,4.1
1978-10-01,3.7
1978-11-01,3.8
1978-12-01,3.9
