DATE,CPALTT01AUQ659N
1998-07-01,1.35135135135137
1998-10-01,1.49700598802394
1999-01-01,1.19402985074625
1999-04-01,1.03857566765577
1999-07-01,1.77777777777778
1999-10-01,1.91740412979351
2000-01-01,2.80235988200592
2000-04-01,3.08370044052865
2000-07-01,6.11353711790394
2000-10-01,5.78871201157743
2001-01-01,6.025824964132
2001-04-01,6.12535612535611
2001-07-01,2.46913580246912
2001-10-01,3.14637482900139
2002-01-01,2.97699594046007
2002-04-01,2.81879194630873
2002-07-01,3.21285140562248
2002-10-01,2.9177718832891
2003-01-01,3.28515111695137
2003-04-01,2.61096605744124
2003-07-01,2.59403372243839
2003-10-01,2.44845360824744
2004-01-01,2.03562340966923
2004-04-01,2.54452926208652
2004-07-01,2.27560050568902
2004-10-01,2.51572327044025
2005-01-01,2.36907730673316
2005-04-01,2.48138957816377
2005-07-01,3.0902348578492
2005-10-01,2.82208588957054
2006-01-01,2.92326431181486
2006-04-01,3.99515738498791
2006-07-01,3.95683453237409
2006-10-01,3.34128878281623
2007-01-01,2.48520710059172
2007-04-01,2.09545983701978
2007-07-01,1.84544405997693
2007-10-01,2.88683602771363
2008-01-01,4.27251732101617
2008-04-01,4.44697833523374
2008-07-01,4.98301245753115
2008-10-01,3.70370370370371
2009-01-01,2.43632336655593
2009-04-01,1.41921397379914
2009-07-01,1.18662351672059
2009-10-01,2.05627705627705
2010-01-01,2.91891891891892
2010-04-01,3.12163616792249
2010-07-01,2.87846481876333
2010-10-01,2.75715800636269
2011-01-01,3.25630252100839
2011-04-01,3.54906054279751
2011-07-01,3.41968911917099
2011-10-01,2.99277605779153
2012-01-01,1.62767039674467
2012-04-01,1.20967741935483
2012-07-01,2.00400801603207
2012-10-01,2.20440881763527
2013-01-01,2.50250250250249
2013-04-01,2.39043824701195
2013-07-01,2.16110019646366
2013-10-01,2.74509803921569
2014-01-01,2.9296875
2014-04-01,3.01556420233464
2014-07-01,2.30769230769231
2014-10-01,1.7175572519084
2015-01-01,1.32827324478178
2015-04-01,1.51085930122755
2015-07-01,1.50375939849624
2015-10-01,1.68855534709193
2016-01-01,1.31086142322097
2016-04-01,1.0232558139535
2016-07-01,1.2962962962963
2016-10-01,1.4760147601476
2017-01-01,2.1256931608133
2017-04-01,1.93370165745855
2017-07-01,1.82815356489945
2017-10-01,1.9090909090909
2018-01-01,1.90045248868777
2018-04-01,2.07768744354111
2018-07-01,1.8850987432675
2018-10-01,1.78412132024978
2019-01-01,1.33214920071049
2019-04-01,1.59292035398228
2019-07-01,1.6740088105727
2019-10-01,1.84049079754602
2020-01-01,2.19106047326905
2020-04-01,-0.34843205574911
2020-07-01,0.693240901213172
2020-10-01,0.860585197934596
2021-01-01,1.11492281303603
2021-04-01,3.84615384615383
2021-07-01,3.01204819277108
2021-10-01,3.49829351535836
2022-01-01,5.08905852417303
2022-04-01,6.14478114478114
2022-07-01,7.26817042606516
2022-10-01,7.8318219291014
2023-01-01,7.02179176755448
2023-04-01,6.02696272799366
2023-07-01,5.373832
2023-10-01,4.051988
2024-01-01,3.61991
2024-04-01,3.81451
