DATE,SPOILGASEP
2013-10-31,10571.38
2013-11-01,10504.57
2013-11-04,10829.78
2013-11-05,10603.73
2013-11-06,10373.9
2013-11-07,10090.45
2013-11-08,10335.69
2013-11-11,10372.67
2013-11-12,10244.15
2013-11-13,10401.81
2013-11-14,10510.53
