tickers
PLAN
ACIW
AFRM
AGFY
ALRM
ANSS
API
AVLR
AXON
AYX
BAND
BCOV
BLND
BSY
CLDR
COUP
COUR
CSOD
CYBR
DCBO
DCT
DOCS
DSGX
EB
EBIX
ESMT
FEYE
FORG
FTV
HCAT
HSTM
INFA
KNBE
LPSN
LSPD
MDLA
MIME
MLNK
MSCI
NABL
NEWR
NTNX
ORCL
PEGA
PFPT
PRO
PS
PYPL
ROP
RP
SAP
SPLK
SPSC
SQ
SWI
TDC
TLND
TTD
TYL
USER
VERI
VRNS
VRNT
VRSK
VTEX
ZD
ZEN
ALKT
AVDX
BLKB
CDAY
EGHT
ENFN
EVBG
EVCM
EXFY
GWRE
HCP
JAMF
ONTF
PLTR
PTC
PWSC
RPD
RSKD
SEMR
TWOU
U
UPLD
VERX
WEAV
ADSK
APPN
AVPT
BASE
DH
INST
INTA
KLTR
KVYO
PANW
PYCR
ASAN
BILL
BOX
CFLT
CWAN
DBX
DOCN
DOMO
DT
ESTC
FIVN
IOT
LAW
MDB
NET
PATH
RNG
S
SHOP
SPT
SQSP
TEAM
TOST
TWLO
WIX
WKME
YEXT
ZI
ZS
ADBE
AI
AMPL
APPF
BIGC
BL
BRZE
CRM
CRWD
CXM
DDOG
DOCU
FROG
FRSH
FSLY
GTLB
HUBS
MNDY
NCNO
NOW
OKTA
OLO
PAYC
PCOR
PCTY
PD
QLYS
QTWO
SMAR
SNOW
TENB
VEEV
WDAY
WK
ZM
ZUO
